epoch,accuracy,loss,val_accuracy,val_loss
0,0.3650705814361572,1.3283069133758545,0.42939481139183044,1.2836029529571533
1,0.6484915614128113,0.9822565913200378,0.6714697480201721,0.9060038328170776
2,0.7882645726203918,0.591318666934967,0.7031700015068054,0.7839761972427368
3,0.846388041973114,0.42608553171157837,0.7089337110519409,0.765623927116394
4,0.8710213303565979,0.3435018062591553,0.7002881765365601,0.7898491024971008
5,0.900636613368988,0.2813740372657776,0.7060518860816956,0.8457476496696472
6,0.9164129495620728,0.23948459327220917,0.7002881765365601,0.8704596757888794
7,0.9280376434326172,0.20443440973758698,0.6945244669914246,0.9147340655326843
8,0.9443675875663757,0.17674905061721802,0.6916426420211792,0.9805776476860046
9,0.951287031173706,0.150379478931427,0.6916426420211792,1.056197166442871
10,0.9593135714530945,0.13686825335025787,0.6657060384750366,1.1216187477111816
11,0.9648491740226746,0.11350297182798386,0.6858789920806885,1.1311240196228027
12,0.9690008163452148,0.10992266237735748,0.6714697480201721,1.2276653051376343
13,0.9698311686515808,0.10184264183044434,0.6772334575653076,1.2057225704193115
14,0.9709382653236389,0.09718839824199677,0.6743515729904175,1.2657407522201538
15,0.973706066608429,0.08816003799438477,0.6657060384750366,1.302573561668396
16,0.9748131632804871,0.08597396314144135,0.6685879230499268,1.322259783744812
17,0.9745364189147949,0.0806085467338562,0.6657060384750366,1.4139894247055054
18,0.9778577089309692,0.07196487486362457,0.6685879230499268,1.430471658706665
19,0.975089967250824,0.08324731886386871,0.6685879230499268,1.4859305620193481
20,0.9759202599525452,0.07270936667919159,0.6628242135047913,1.4385113716125488
21,0.977027416229248,0.07035914063453674,0.680115282535553,1.5402188301086426
22,0.9778577089309692,0.06924249231815338,0.6570605039596558,1.5482654571533203
23,0.9773041605949402,0.07063204050064087,0.6685879230499268,1.5078502893447876
24,0.975089967250824,0.06591226905584335,0.6628242135047913,1.5520648956298828
